x,y
1294,1131
331,2123
607,1522
1216,2031
937,642
2044,2237
741,1932
1626,1718
1732,431
1347,971
2298,290
1107,1399
1782,705
2307,218
2022,336
1478,1522
1319,1978
50,1240
569,56
1088,1112
1632,1541
834,44
1629,1731
2357,1009
340,1393
424,2148
2179,677
1512,1667
1666,1490
2463,1993
1331,1329
427,2243
2142,1288
993,2322
1091,1917
1312,1602
9,2087
2034,119
952,2129
2316,1624
2210,439
731,1223
2104,686
1669,2031
1284,387
2419,2315
684,1507
659,1299
1334,1325
477,2356
2037,1890
2057,425
1290,1935
103,2270
815,2024
2082,108
949,1446
628,539
2241,1589
1287,1070
224,1717
1002,2052
464,1124
1591,1276
531,1978
2213,1703
386,2455
2291,463
606,2282
2219,2318
90,1337
2191,2028
955,2295
556,2306
1946,728
1524,460
2200,2129
2459,664
874,2029
1890,973
2200,556
1952,1768
1011,1652
2091,2265
852,1712
743,2197
674,1916
827,1710
2350,2425
1377,2363
1862,1930
593,1396
2275,1813
2269,2423
724,2246
93,1337
314,146
1109,1529
311,2142
2462,1178
1411,523
939,2134
364,1048
1930,569
46,1248
2281,1138
255,1478
552,2317
1221,1009
470,2351
1355,1283
2412,307
1489,1813
1802,1870
80,2357
1659,1361
236,1521
77,947
596,933
1511,616
886,570
2393,1223
1520,1696
1121,1203
270,181
1271,2145
2452,1316
973,458
555,2317
2480,305
708,1373
1180,1816
689,1811
373,1370
1920,2383
1448,812
2156,2298
2346,1350
979,1078
1615,741
661,1074
1546,60
1473,2292
642,1082
1571,579
248,711
873,1076
1811,432
220,1717
773,853
1292,971
1552,1396
2455,1306
764,1850
1426,2389
851,1377
1077,263
2287,1807
1543,1282
1342,181
388,1896
1217,1744
1370,1430
2427,492
1058,596
1423,1408
1973,2057
1192,1758
1602,25
1236,2099
1736,1051
2461,123
2196,1708
1133,2477
1007,1396
589,1231
179,1283
1114,2410
2068,178
254,1645
494,1244
2032,68
1061,198
1873,1088
2199,521
1898,533
425,1040
23,975
2032,1775
1870,1943
754,1431
1360,1488
422,839
816,318
1351,1510
1904,797
1466,328
1142,2113
1179,2249
2080,93
813,159
126,1612
1154,253
838,1650
1723,2036
1117,113
1463,101
1288,1079
1285,1073
2007,616
1223,1081
144,1269
2414,1167
2395,837
141,883
1497,1808
925,1799
1614,805
641,240
2041,1875
406,1156
1148,655
666,1701
2189,72
2426,2288
2323,1066
894,519
975,1078
2242,1062
2376,2252
465,2045
303,1729
1032,1001
1913,1530
1129,2475
1322,1531
381,2317
1456,825
1991,747
2460,812
462,802
697,427
607,1768
1785,1412
1928,1943
2270,2243
2248,2197
2220,2283
284,2008
2226,1664
122,149
694,1175
1978,756
675,1485
2201,1714
1800,1312
2491,300
2092,217
69,2287
656,1518
340,1935
1551,2298
368,140
647,1524
1200,1771
2048,2234
2357,2208
2301,62
471,1108
47,1609
2301,1603
1015,411
1312,1896
1538,1166
2034,1889
2051,866
2344,1272
1197,695
2235,2261
756,1333
2006,283
1381,1798
1116,777
318,1352
890,2019
1791,1871
1203,1774
2154,2447
240,1472
1803,1243
2235,1662
952,642
237,1928
103,35
977,1598
1359,453
146,1387
1619,1812
709,2020
1778,719
531,1232
874,2445
1234,881
249,533
1393,1232
765,1637
2328,1076
1524,218
1471,1021
1053,1128
246,1466
1480,384
1028,1934
87,2018
1427,1403
696,1519
2244,1444
90,2166
2110,261
96,287
2403,285
1433,2338
1477,317
2375,1891
1237,1153
1628,1538
395,1556
1508,1664
49,1445
1349,1668
289,2454
1483,1694
615,2394
1084,1163
2381,1732
261,1880
99,287
1609,272
1014,1224
1464,321
1249,641
1821,667
398,1739
1140,2170
1380,1577
1115,120
1355,1577
2050,52
2359,34
255,529
861,1228
2033,2170
2209,1693
1637,2320
8,2007
577,1818
1880,999
298,301
2100,1825
1246,2312
1540,1399
217,155
1361,1494
789,1957
2081,564
2390,1598
1992,548
2231,1662
892,516
664,1073
2187,1788
2371,927
142,500
2424,1311
1836,2344
301,301
485,1164
2042,2236
1836,915
1105,1951
1571,1938
667,196
2134,1505
2162,234
826,1647
1395,1138
1914,206
1529,164
332,1152
1995,1631
1942,2490
1367,1512
1211,2476
1130,2228
539,1855
2221,1332
1664,834
1242,882
1814,436
520,704
1064,29
2405,1245
2093,1931
2032,362
70,1949
450,1896
2146,1835
2411,341
966,911
754,1665
23,1150
1307,961
991,1128
101,38
1870,2116
1120,114
2320,1495
1466,98
1673,1488
922,1988
2205,1144
2302,2468
2211,1807
838,1380
919,785
1938,1307
2230,2352
1776,1500
1854,1267
2420,1550
60,1043
2395,1588
906,2123
1469,724
2127,117
2457,153
459,163
629,1411
2055,1956
2192,1782
1254,1982
2136,472
1701,1269
1888,964
585,1829
2038,1354
509,1285
1003,2315
1835,2344
356,2276
250,1635
2401,1425
1726,439
1341,1675
2055,2290
1182,1681
850,1958
2298,2483
38,1555
956,2162
607,1990
2379,938
962,1707
2226,2311
487,1860
1928,296
2198,2209
719,1861
1478,974
2466,157
834,2237
2201,1924
2385,75
1551,127
594,1521
122,1602
415,2285
1925,1658
968,1554
22,149
2170,658
315,157
884,1370
2098,1475
2251,2187
2338,306
2142,724
427,1272
268,188
2363,1142
884,2192
187,52
1381,1072
1900,96
106,44
525,2256
1669,563
1337,954
952,1432
2235,1412
812,2084
371,128
790,2268
1256,1190
112,2425
712,836
2341,292
756,2425
2216,1335
2057,1013
665,1894
1449,1458
2347,620
1903,534
65,1059
1209,766
2266,596
1806,1133
2425,493
581,704
1706,1277
1181,2245
302,958
1131,2466
1750,2469
2306,2029
380,1561
986,82
2200,1779
1103,1645
1396,409
914,1411
1343,178
1949,1705
746,1926
799,1168
1265,2238
2356,778
671,2349
718,1376
1527,1830
1483,388
2247,1440
1508,977
2097,63
1868,2117
615,2021
749,51
2122,2010
2069,177
1715,926
1759,2301
1533,1159
1221,1477
2468,1861
2449,1291
1489,1377
917,776
1486,987
792,707
1096,1969
1087,1921
476,479
596,2156
404,1144
1442,1064
967,1543
1852,1635
948,637
886,1789
973,926
1233,2381
1593,1865
429,832
1023,1860
901,1746
839,1374
108,1764
2343,1995
1855,1630
555,943
2042,51
170,1475
1989,744
801,951
711,1612
1571,1672
2352,1153
441,1856
764,1390
2137,1857
985,1283
2268,825
1451,1286
1967,854
120,156
1886,386
1914,1663
1130,2478
419,2150
2327,1505
2168,2028
1577,1637
251,611
2202,1917
2336,295
1795,895
1064,1779
589,264
2221,2408
570,1712
1133,1867
2199,61
132,494
2280,1151
2386,484
1951,241
1460,572
2448,207
344,1612
138,2487
2392,2433
1870,451
1658,1229
2277,1950
1826,893
885,975
1630,1199
2049,2233
4,1500
1139,1744
788,1888
2417,1407
1673,1226
866,1964
1039,745
1798,1882
997,2114
947,641
1154,1745
688,2296
2495,521
428,1274
319,719
2476,1962
1670,2483
1614,273
1026,1286
1335,1328
1522,793
1469,1022
2457,883
2289,2392
16,1690
791,2171
772,225
244,528
663,1764
1595,1025
797,1618
13,195
672,2201
1207,2027
2454,1455
716,1926
2133,740
2460,1280
38,1797
1548,1288
1216,801
225,2306
850,2295
1213,2471
153,881
247,701
881,1571
2270,1034
828,46
2111,2
775,625
2245,1052
544,2013
1266,2026
728,2238
2307,1017
535,1989
2404,2483
1079,2184
1657,884
2179,2023
1825,660
449,1173
600,2279
1135,1081
859,686
1894,970
2469,1554
1403,1069
1919,109
653,456
1937,2167
471,173
990,1127
1875,1931
2051,1358
402,1524
812,175
427,843
2279,1804
240,1820
812,2322
78,224
1741,2419
1203,695
2040,40
190,1725
1449,1188
1050,1713
1147,1791
1912,2358
1906,2196
2481,292
584,259
2160,229
1359,1282
1912,209
715,1375
1234,325
1909,2199
2238,1416
1209,2477
489,978
2088,465
662,1217
1547,89
1644,1123
777,237
1625,1245
581,1055
2353,1011
1812,67
1427,167
1784,890
2138,746
2024,2308
118,1615
808,467
1112,513
877,1579
699,1947
205,1498
1243,1862
671,1489
2406,309
1224,798
2247,2388
2033,489
864,1592
2387,1029
1274,2047
426,1039
1511,1706
1246,121
2184,2213
186,2227
2128,1959
476,165
8,1507
1790,890
1308,1860
658,1381
1227,284
733,1687
2240,1188
385,1703
1024,1182
376,96
329,2114
2212,685
1618,605
1286,1677
2343,1777
1546,1274
1470,1234
1624,1802
304,1735
2243,2393
714,1854
845,836
510,2173
1864,436
630,1422
1945,1921
460,2121
2109,5
510,536
1727,1055
351,1564
826,19
176,1552
2134,440
416,2287
1423,706
67,109
1646,1189
2464,660
379,2171
2399,844
73,2352
1217,1011
1261,734
963,2395
1482,1481
1323,1991
2168,669
313,158
1108,1411
2299,1753
1795,597
944,2108
1373,609
1929,1579
1926,1581
570,2122
1917,100
2199,2214
944,1959
123,160
2467,1922
2165,1941
701,1813
854,1861
469,2345
1301,1290
657,1367
1307,1469
1932,1928
2118,1668
2411,1418
567,1105
1510,1027
1904,2042
2233,2255
841,1720
269,191
529,1966
679,500
1564,1394
554,2315
1804,1313
598,268
997,1809
819,2021
1564,725
384,1862
953,1435
2495,2264
2236,641
85,2164
794,2164
219,1070
2041,529
60,106
353,208
2189,902
604,1647
2323,364
256,1471
791,2433
406,2017
2348,1769
1009,2321
350,1767
1129,780
484,1853
797,1340
894,2016
716,1708
1322,2233
937,2141
1645,145
513,1610
903,2153
19,981
2354,1612
393,1492
962,1183
1132,2471
1372,1494
1838,347
153,1696
1054,1354
828,308
2404,310
2226,1406
72,2352
1997,1290
203,1354
915,1148
1012,1976
541,1226
2223,1567
2028,2168
1604,515
806,1270
2332,1549
421,1116
315,713
728,1098
1440,1180
1350,1011
1919,2278
1272,1671
474,474
831,314
1869,2246
1919,283
2142,1823
1116,2400
1200,2419
2344,2490
187,1632
1660,1125
1744,2416
1635,1101
2104,1542
1406,2281
477,2039
996,89
1247,640
1697,2207
703,2406
1638,2311
2207,1811
1613,271
1521,895
2419,409
1912,2124
2241,733
762,621
140,2487
949,1619
1663,1134
1840,2216
2238,1186
65,100
411,912
634,1407
687,1515
1393,406
1234,1938
1840,723
115,1854
2024,1828
2015,1842
2085,678
1784,1424
2422,1413
721,1698
774,1460
1622,1604
1346,183
1371,616
68,1055
693,1548
2437,1930
1793,1241
1996,2496
1887,389
2440,2281
1377,1832
2384,475
2462,818
1974,863
136,2490
2406,2480
2487,645
1109,2038
2203,1266
1575,1933
1455,222
1014,2062
2362,1617
1302,1611
830,1124
2203,607
1399,1613
811,1260
2309,54
339,1611
1374,1633
470,1399
2005,285
2172,239
1668,835
1020,1965
2393,2434
842,2121
1718,2029
1871,2265
967,1499
83,2151
655,1077
183,1640
2474,1548
1467,1011
1289,1195
298,590
242,1468
2393,1780
2081,1930
948,1412
770,1776
454,1897
2150,1832
1180,1291
2175,335
820,1418
1858,1270
904,2397
892,2188
2318,1495
11,1689
901,2160
326,1478
2421,124
2243,1192
1080,665
1317,1472
739,2192
1727,1333
2455,775
173,1474
2374,221
360,215
2305,1018
720,1859
2109,1716
823,1416
645,1620
1577,1201
779,1582
2305,2119
514,997
2246,2255
1602,516
648,2063
589,2231
1242,1943
2299,2031
2196,2207
338,1189
1376,1421
2140,425
1954,1877
1892,973
589,1756
882,806
1627,1860
723,1302
1608,284
2146,2370
1954,248
767,2357
651,1529
472,2346
1373,1488
469,174
1488,394
2405,2480
2252,1134
2093,174
810,170
807,2086
2074,2070
229,1138
785,2228
1801,228
1220,1076
994,78
2314,188
1851,1870
807,1260
576,786
885,1800
972,2245
1351,2035
1611,282
1019,1290
1223,2428
1742,1428
1117,1945
2174,2169
366,1431
626,1940
54,1237
760,1630
2211,618
107,9
2255,1057
660,1213
760,2297
1179,1952
554,1471
2236,1842
791,266
2261,353
1257,2385
975,462
1907,2475
1422,523
172,1557
306,611
735,1042
2108,619
1910,2202
1322,2451
1941,2494
1400,1726
2351,2434
1813,448
2176,1934
1785,2041
588,1139
881,1279
2351,39
959,1556
72,1574
694,63
2360,586
1978,1612
775,1582
2022,73
1953,1718
2360,1253
359,1369
1238,2375
1788,1498
1666,836
253,1883
1281,482
700,1182
1219,2422
787,1597
1269,987
2204,617
100,46
1610,569
1138,2170
1975,1623
1018,1577
1919,1585
1788,2048
1875,439
2051,1946
1250,1976
2282,1960
2034,364
1144,1862
793,1882
1222,793
2229,2308
1515,1825
597,356
1722,433
550,1614
2369,2005
59,1057
1968,2053
1097,1473
2207,9
762,1504
2188,2119
1334,570
578,2006
1025,1181
2082,357
796,2425
1940,718
1359,2038
1002,2317
1100,1970
1750,92
1259,723
2266,2252
2213,2499
392,1561
2353,1551
1600,565
2191,1783
224,2164
880,2440
258,126
1678,1944
2110,1533
149,1379
1028,2457
1647,2313
2219,1871
880,819
1625,2371
43,1805
668,1304
1318,1478
2356,2004
1396,1726
2144,722
1377,1586
2331,1994
2375,2257
780,61
743,49
2462,548
877,1279
964,1502
565,1997
1377,223
1584,1195
71,2464
2256,2239
2063,1940
2250,2189
1762,2462
2141,1856
1065,874
230,2307
992,1734
593,2229
1402,1297
2172,2130
942,2140
2431,1931
1249,118
1037,1945
889,519
2315,1504
2209,613
2094,2260
2181,503
995,1723
423,386
1308,1464
501,1274
658,1977
2340,296
602,1303
2284,1818
792,2427
30,1812
1146,1992
2346,2421
2081,1692
342,2269
655,996
2231,646
683,2291
457,1177
2053,606
2452,1069
574,716
2240,123
973,193
2187,548
1699,35
1001,2004
1420,512
239,2295
189,562
904,2163
329,1163
2042,1393
1643,1678
845,2291
1777,1680
1311,702
1445,1736
954,1333
1677,1785
1970,1349
2262,986
2156,1337
2103,2498
2243,1438
1504,991
1010,2068
1236,1038
1886,1088
14,80
826,1114
510,1475
491,1929
1323,2230
1007,2369
798,1180
1058,877
2249,319
1236,2372
2224,2311
313,714
1214,2476
444,1776
2486,431
1304,1604
1839,476
2271,1147
829,55
335,1614
748,41
882,1271
2252,1940
1764,2281
1917,1981
1036,1454
1435,923
70,2464
2029,2299
51,1816
969,317
1714,2301
2252,319
1658,1803
1086,272
2448,1281
1898,794
26,1802
1220,802
897,1244
1307,1897
1404,1683
1042,1002
2029,1888
1248,2391
397,1697
1692,80
1789,1492
2205,0
2230,1661
2417,90
1932,2154
1201,2288
2071,1979
1288,389
29,1447
2124,1915
506,1280
384,306
1854,2219
1698,1271
2370,227
2264,354
579,1181
7,1692
953,604
863,1185
2041,61
1988,1628
2457,1073
2367,530
2016,2105
1022,1538
744,1914
431,826
1229,2453
1519,795
894,268
147,499
387,1312
1528,454
956,1719
1475,321
1235,336
462,2124
1394,403
822,168
2089,68
1732,1579
2460,549
1760,96
2351,2200
1947,1112
1785,1683
2176,767
1506,1819
150,1379
1916,1746
1794,1884
853,1952
2226,441
675,1780
1916,2165
184,57
493,977
2092,466
22,1149
1666,558
968,1509
137,2489
1440,1736
2251,1139
1225,2458
75,433
1585,902
840,1299
1585,1315
1894,1847
1825,2332
1875,845
2051,2288
1384,208
28,152
946,439
1937,1938
2416,1168
2257,2204
1303,1617
952,2160
187,569
1515,1559
2031,711
2154,2292
2369,1727
2210,1917
1094,1405
2285,1327
1253,724
455,2437
405,1732
31,926
949,1415
2285,916
2266,1772
640,1411
1050,594
374,2175
352,2273
868,1065
1663,562
2079,1614
2319,1023
2453,1449
665,2125
1008,1664
436,1961
2219,2415
1547,1284
1125,784
2459,889
1346,747
249,1465
302,1453
2138,424
1028,1911
1427,1410
2200,523
612,1120
2138,1551
1299,1424
2350,2200
1377,2372
383,2363
1017,2389
2002,276
805,1352
1787,698
155,891
1974,1942
1918,1652
1065,604
1690,73
1411,616
2256,512
2203,11
1399,1057
1609,31
1556,1650
671,1780
1634,1722
470,163
1489,393
811,165
546,1918
786,2225
811,2318
789,2162
58,2284
1511,905
658,1699
2446,767
898,1234
192,561
2480,1973
655,242
164,703
58,1446
1271,2118
886,2272
1492,1389
1958,2450
1001,1230
2231,2417
1618,283
1339,966
2187,2039
758,1778
304,953
527,165
820,465
435,117
954,1999
758,2137
114,524
167,1562
61,2456
2215,1482
960,323
17,2002
1211,794
586,261
720,1311
510,1781
226,148
586,2232
1367,1763
876,190
2090,727
558,2114
2221,1579
117,46
1886,2060
673,1144
1108,1741
1242,635
2177,909
1892,401
1786,892
1214,765
988,1731
1608,808
670,1375
2405,303
1133,1011
1998,1289
1373,1796
651,446
2068,1780
729,582
782,1528
1488,1473
2199,558
1605,506
595,109
2032,1550
1979,2057
1441,1185
1561,636
816,1714
2358,1141
1692,1726
751,1858
1226,280
2320,1216
216,1357
1985,1289
1251,935
297,1240
207,1349
2124,1633
1117,82
269,1122
409,2078
972,551
1232,1032
2041,2234
598,1513
372,455
2105,1460
1723,446
1022,409
554,1923
950,2302
2420,1303
1229,282
1469,1515
2214,516
